onset	duration	response_time	trial_type	block	value	exp_value
20.248	1.70	n/a	Test_1Back	1	n/a	n/a
22.448	1.70	0.859	Test_1Back	1	n	n
24.648	1.70	0.834	Test_1Back	1	c	c
26.848	1.70	1.041	Test_1Back	1	c	c
29.048	1.70	0.903	Test_1Back	1	c	c
31.248	1.70	1.034	Test_1Back	1	n	n
33.448	1.70	0.734	Test_1Back	1	n	n
35.648	1.70	0.974	Test_1Back	1	n	n
37.848	1.70	0.987	Test_1Back	1	n	n
40.048	1.70	0.772	Test_1Back	1	c	c
42.248	1.70	0.847	Test_1Back	1	n	n
44.448	1.70	0.880	Test_1Back	1	c	c
46.648	1.70	0.817	Test_1Back	1	c	c
48.848	1.70	0.848	Test_1Back	1	c	c
51.048	1.70	0.692	Test_1Back	1	c	c
53.248	1.70	0.939	Test_1Back	1	n	n
75.448	1.70	n/a	Test_2Back	2	n/a	n/a
77.648	1.70	n/a	Test_2Back	2	n/a	n/a
79.848	1.70	0.998	Test_2Back	2	c	c
82.048	1.70	0.951	Test_2Back	2	c	c
84.248	1.70	1.068	Test_2Back	2	n	n
86.448	1.70	1.097	Test_2Back	2	n	n
88.648	1.70	0.930	Test_2Back	2	n	n
90.848	1.70	1.082	Test_2Back	2	n	n
93.048	1.70	1.029	Test_2Back	2	c	c
95.248	1.70	0.967	Test_2Back	2	c	n
97.448	1.70	1.035	Test_2Back	2	c	c
99.648	1.70	1.284	Test_2Back	2	n	n
101.848	1.70	1.007	Test_2Back	2	c	n
104.048	1.70	0.904	Test_2Back	2	n	n
106.248	1.70	1.100	Test_2Back	2	c	c
108.448	1.70	1.064	Test_2Back	2	c	c
130.648	1.70	n/a	Test_3Back	3	n/a	n/a
132.848	1.70	n/a	Test_3Back	3	n/a	n/a
135.048	1.70	n/a	Test_3Back	3	n/a	n/a
137.248	1.70	1.225	Test_3Back	3	n	n
139.448	1.70	1.026	Test_3Back	3	n	c
141.648	1.70	1.064	Test_3Back	3	c	c
143.848	1.70	1.055	Test_3Back	3	c	c
146.048	1.70	1.333	Test_3Back	3	c	c
148.248	1.70	1.010	Test_3Back	3	c	c
150.448	1.70	1.131	Test_3Back	3	n	n
152.648	1.70	1.210	Test_3Back	3	n	n
154.848	1.70	1.040	Test_3Back	3	c	c
157.048	1.70	1.188	Test_3Back	3	c	c
159.248	1.70	1.011	Test_3Back	3	c	c
161.448	1.70	1.140	Test_3Back	3	c	c
163.648	1.70	1.188	Test_3Back	3	n	c
185.848	1.70	n/a	Test_1Back	4	n/a	n/a
188.048	1.70	0.818	Test_1Back	4	n	n
190.248	1.70	0.956	Test_1Back	4	c	c
192.448	1.70	1.125	Test_1Back	4	c	c
194.648	1.70	1.085	Test_1Back	4	n	n
196.848	1.70	0.981	Test_1Back	4	n	n
199.048	1.70	0.892	Test_1Back	4	c	c
201.248	1.70	0.897	Test_1Back	4	c	c
203.448	1.70	1.074	Test_1Back	4	c	n
205.648	1.70	0.954	Test_1Back	4	n	n
207.848	1.70	0.825	Test_1Back	4	n	c
210.048	1.70	0.871	Test_1Back	4	c	c
212.248	1.70	0.815	Test_1Back	4	c	n
214.448	1.70	0.871	Test_1Back	4	n	c
216.648	1.70	0.906	Test_1Back	4	n	c
218.848	1.70	0.980	Test_1Back	4	n	n
241.048	1.70	n/a	Test_2Back	5	n/a	n/a
243.248	1.70	n/a	Test_2Back	5	n/a	n/a
245.448	1.70	0.972	Test_2Back	5	c	c
247.648	1.70	0.822	Test_2Back	5	c	c
249.848	1.70	1.045	Test_2Back	5	n	n
252.048	1.70	0.983	Test_2Back	5	c	c
254.248	1.70	1.179	Test_2Back	5	n	c
256.448	1.70	1.002	Test_2Back	5	n	n
258.648	1.70	1.154	Test_2Back	5	n	n
260.848	1.70	0.962	Test_2Back	5	c	c
263.048	1.70	1.043	Test_2Back	5	c	c
265.248	1.70	0.999	Test_2Back	5	n	n
267.448	1.70	1.159	Test_2Back	5	n	n
269.648	1.70	0.947	Test_2Back	5	c	c
271.848	1.70	1.125	Test_2Back	5	n	n
274.048	1.70	1.077	Test_2Back	5	n	n
296.248	1.70	n/a	Test_3Back	6	n/a	n/a
298.448	1.70	n/a	Test_3Back	6	n/a	n/a
300.648	1.70	n/a	Test_3Back	6	n/a	n/a
302.848	1.70	1.344	Test_3Back	6	c	n
305.048	1.70	1.165	Test_3Back	6	c	c
307.248	1.70	1.121	Test_3Back	6	n	n
309.448	1.70	1.078	Test_3Back	6	c	c
311.648	1.70	1.083	Test_3Back	6	n	n
313.848	1.70	1.221	Test_3Back	6	c	c
316.048	1.70	0.892	Test_3Back	6	n	n
318.248	1.70	1.148	Test_3Back	6	c	c
320.448	1.70	1.177	Test_3Back	6	c	c
322.648	1.70	1.012	Test_3Back	6	n	n
324.848	1.70	1.069	Test_3Back	6	n	n
327.048	1.70	1.051	Test_3Back	6	n	n
329.248	1.70	1.179	Test_3Back	6	n	n
351.448	1.70	n/a	Test_1Back	7	n/a	n/a
353.648	1.70	0.781	Test_1Back	7	n	n
355.848	1.70	0.696	Test_1Back	7	n	c
358.048	1.70	1.163	Test_1Back	7	c	c
360.248	1.70	1.010	Test_1Back	7	c	c
362.448	1.70	0.682	Test_1Back	7	n	n
364.648	1.70	0.804	Test_1Back	7	n	n
366.848	1.70	0.870	Test_1Back	7	n	n
369.048	1.70	0.897	Test_1Back	7	n	n
371.248	1.70	0.809	Test_1Back	7	c	c
373.448	1.70	0.937	Test_1Back	7	n	n
375.648	1.70	0.770	Test_1Back	7	n	n
377.848	1.70	0.764	Test_1Back	7	c	c
380.048	1.70	1.039	Test_1Back	7	n	n
382.248	1.70	0.747	Test_1Back	7	c	c
384.448	1.70	0.669	Test_1Back	7	n	n
406.648	1.70	n/a	Test_2Back	8	n/a	n/a
408.848	1.70	n/a	Test_2Back	8	n/a	n/a
411.048	1.70	0.873	Test_2Back	8	n	n
413.248	1.70	1.105	Test_2Back	8	n	n
415.448	1.70	0.972	Test_2Back	8	c	c
417.648	1.70	0.956	Test_2Back	8	n	n
419.848	1.70	1.170	Test_2Back	8	n	n
422.048	1.70	1.070	Test_2Back	8	n	n
424.248	1.70	1.053	Test_2Back	8	c	c
426.448	1.70	1.067	Test_2Back	8	c	c
